,Survived,Pclass,Age,SibSp,Parch,Fare,Sex,Cabin,Embarked
0,0,3,22.0,1,0,7.25,1,47,2
1,1,1,38.0,1,0,71.2833,0,81,0
2,1,3,26.0,0,0,7.925,0,47,2
3,1,1,35.0,1,0,53.1,0,55,2
4,0,3,35.0,0,0,8.05,1,47,2
5,0,3,28.25,0,0,8.4583,1,47,1
6,0,1,54.0,0,0,51.8625,1,129,2
7,0,3,2.0,3,1,21.075,1,47,2
8,1,3,27.0,0,2,11.1333,0,47,2
9,1,2,14.0,1,0,30.0708,0,47,0
10,1,3,4.0,1,1,16.7,0,145,2
11,1,1,58.0,0,0,26.55,0,49,2
12,0,3,20.0,0,0,8.05,1,47,2
13,0,3,39.0,1,5,31.275,1,47,2
14,0,3,14.0,0,0,7.8542,0,47,2
15,1,2,55.0,0,0,16.0,0,47,2
16,0,3,2.0,4,1,29.125,1,47,1
17,1,2,28.25,0,0,13.0,1,47,2
18,0,3,31.0,1,0,18.0,0,47,2
19,1,3,28.25,0,0,7.225,0,47,0
20,0,2,35.0,0,0,26.0,1,47,2
21,1,2,34.0,0,0,13.0,1,111,2
22,1,3,15.0,0,0,8.0292,0,47,1
23,1,1,28.0,0,0,35.5,1,13,2
24,0,3,8.0,3,1,21.075,0,47,2
25,1,3,38.0,1,5,31.3875,0,47,2
26,0,3,28.25,0,0,7.225,1,47,0
27,0,1,19.0,3,2,263.0,1,63,2
28,1,3,28.25,0,0,7.8792,0,47,1
29,0,3,28.25,0,0,7.8958,1,47,2
30,0,1,40.0,0,0,27.7208,1,47,0
31,1,1,28.25,1,0,146.5208,0,41,0
32,1,3,28.25,0,0,7.75,0,47,1
33,0,2,66.0,0,0,10.5,1,47,2
34,0,1,28.0,1,0,82.1708,1,47,0
35,0,1,42.0,1,0,52.0,1,47,2
36,1,3,28.25,0,0,7.2292,1,47,0
37,0,3,21.0,0,0,8.05,1,47,2
38,0,3,18.0,2,0,18.0,0,47,2
39,1,3,14.0,1,0,11.2417,0,47,0
40,0,3,40.0,1,0,9.475,0,47,2
41,0,2,27.0,1,0,21.0,0,47,2
42,0,3,28.25,0,0,7.8958,1,47,0
43,1,2,3.0,1,2,41.5792,0,47,0
44,1,3,19.0,0,0,7.8792,0,47,1
45,0,3,28.25,0,0,8.05,1,47,2
46,0,3,28.25,1,0,15.5,1,47,1
47,0,3,28.25,2,0,21.6792,1,47,0
48,0,3,18.0,1,0,17.8,0,47,2
49,0,3,7.0,4,1,39.6875,1,47,2
50,0,3,21.0,0,0,7.8,1,47,2
51,1,1,49.0,1,0,76.7292,0,101,0
52,1,2,29.0,1,0,26.0,0,47,2
53,0,1,65.0,0,1,61.9792,1,23,0
54,1,1,28.25,0,0,35.5,1,71,2
55,1,2,21.0,0,0,10.5,0,47,2
56,0,3,28.5,0,0,7.2292,1,47,0
57,1,2,5.0,1,2,27.75,0,47,2
58,0,3,11.0,5,2,46.9,1,47,2
59,0,3,22.0,0,0,7.2292,1,47,0
60,1,1,38.0,0,0,80.0,0,21,2
61,0,1,45.0,1,0,83.475,1,80,2
62,0,3,4.0,3,2,27.9,1,47,2
63,0,1,28.25,0,0,27.7208,1,47,0
64,1,3,28.25,1,1,15.2458,1,47,0
65,1,2,29.0,0,0,10.5,0,142,2
66,0,3,19.0,0,0,8.1583,1,47,2
67,1,3,17.0,4,2,7.925,0,47,2
68,0,3,26.0,2,0,8.6625,1,47,2
69,0,2,32.0,0,0,10.5,1,47,2
70,0,3,16.0,5,2,46.9,0,47,2
71,0,2,21.0,0,0,73.5,1,47,2
72,0,3,26.0,1,0,14.4542,1,47,0
73,1,3,32.0,0,0,56.4958,1,47,2
74,0,3,25.0,0,0,7.65,1,140,2
75,1,2,0.83,0,2,29.0,1,47,2
76,1,3,30.0,0,0,12.475,0,47,2
77,0,3,22.0,0,0,9.0,1,47,2
78,1,3,29.0,0,0,9.5,1,47,2
79,1,3,28.25,0,0,7.7875,0,47,1
80,0,1,28.0,0,0,47.1,1,47,2
81,1,2,17.0,0,0,10.5,0,47,2
82,1,3,33.0,3,0,15.85,0,47,2
83,0,3,16.0,1,3,34.375,1,47,2
84,1,1,23.0,3,2,263.0,0,63,2
85,0,3,24.0,0,0,8.05,1,47,2
86,0,3,29.0,0,0,8.05,1,47,2
87,0,3,20.0,0,0,7.8542,1,47,2
88,0,1,46.0,1,0,61.175,1,122,2
89,0,3,26.0,1,2,20.575,1,47,2
90,0,3,59.0,0,0,7.25,1,47,2
91,0,1,71.0,0,0,34.6542,1,12,0
92,1,1,23.0,0,1,63.3583,1,91,0
93,1,2,34.0,0,1,23.0,0,47,2
94,0,2,34.0,1,0,26.0,1,47,2
95,0,3,28.0,0,0,7.8958,0,47,2
96,0,1,21.0,0,1,77.2875,1,98,2
97,0,3,33.0,0,0,8.6542,1,47,2
98,0,3,37.0,2,0,7.925,1,47,2
99,0,3,28.0,0,0,7.8958,1,47,2
100,1,3,21.0,0,0,7.65,0,47,2
101,1,3,28.25,0,0,7.775,1,47,2
102,0,3,38.0,0,0,7.8958,1,47,2
103,1,3,28.25,1,0,24.15,0,47,1
104,0,1,47.0,0,0,52.0,1,52,2
105,0,3,14.5,1,0,14.4542,0,47,0
106,0,3,22.0,0,0,8.05,1,47,2
107,0,3,20.0,1,0,9.825,0,47,2
108,0,3,17.0,0,0,14.4583,0,47,0
109,0,3,21.0,0,0,7.925,1,47,2
110,0,3,70.5,0,0,7.75,1,47,1
111,0,2,29.0,1,0,21.0,1,47,2
112,0,1,24.0,0,1,247.5208,1,36,0
113,0,3,2.0,4,2,31.275,0,47,2
114,0,2,21.0,2,0,73.5,1,47,2
115,0,2,32.5,1,0,30.0708,1,47,0
116,1,2,32.5,0,0,13.0,0,116,2
117,0,1,54.0,0,1,77.2875,1,98,2
118,1,3,12.0,1,0,11.2417,1,47,0
119,0,3,28.25,0,0,7.75,1,47,1
120,1,3,24.0,0,0,7.1417,1,47,2
121,1,3,28.25,1,1,22.3583,0,138,0
122,0,3,45.0,0,0,6.975,1,47,2
123,0,3,33.0,0,0,7.8958,1,47,0
124,0,3,20.0,0,0,7.05,1,47,2
125,0,3,47.0,1,0,14.5,0,47,2
126,0,2,25.0,0,0,13.0,1,47,2
127,0,2,23.0,0,0,15.0458,1,47,0
128,1,1,19.0,0,2,26.2833,0,107,2
129,0,1,37.0,1,0,53.1,1,55,2
130,0,3,16.0,0,0,9.2167,1,47,2
131,0,1,24.0,0,0,79.2,1,45,0
132,0,3,28.25,0,2,15.2458,0,47,0
133,1,3,22.0,0,0,7.75,0,47,2
134,1,3,24.0,1,0,15.85,0,47,2
135,0,3,19.0,0,0,6.75,1,47,1
136,0,2,18.0,0,0,11.5,1,47,2
137,0,2,19.0,1,1,36.75,1,47,2
138,1,3,27.0,0,0,7.7958,1,47,2
139,0,3,9.0,2,2,34.375,0,47,2
140,0,2,36.5,0,2,26.0,1,141,2
141,0,2,42.0,0,0,13.0,1,47,2
142,0,2,51.0,0,0,12.525,1,47,2
143,1,1,22.0,1,0,66.6,0,61,2
144,0,3,55.5,0,0,8.05,1,47,2
145,0,3,40.5,0,2,14.5,1,47,2
146,0,3,28.25,0,0,7.3125,1,47,2
147,0,1,51.0,0,1,61.3792,1,47,0
148,1,3,16.0,0,0,7.7333,0,47,1
149,0,3,30.0,0,0,8.05,1,47,2
150,0,3,28.25,0,0,8.6625,1,47,2
151,0,3,28.25,8,2,69.55,1,47,2
152,0,3,44.0,0,1,16.1,1,47,2
153,1,2,40.0,0,0,15.75,0,47,2
154,0,3,26.0,0,0,7.775,1,47,2
155,0,3,17.0,0,0,8.6625,1,47,2
156,0,3,1.0,4,1,39.6875,1,47,2
157,1,3,9.0,0,2,20.525,1,47,2
158,1,1,28.25,0,1,55.0,0,123,2
159,0,3,45.0,1,4,27.9,0,47,2
160,0,1,28.25,0,0,25.925,1,47,2
161,0,3,28.0,0,0,56.4958,1,47,2
162,0,1,61.0,0,0,33.5,1,18,2
163,0,3,4.0,4,1,29.125,1,47,1
164,1,3,1.0,1,1,11.1333,0,47,2
165,0,1,56.0,0,0,30.6958,1,14,0
166,0,3,18.0,1,1,7.8542,1,47,2
167,0,3,28.25,3,1,25.4667,1,47,2
168,0,1,50.0,0,0,28.7125,0,69,0
169,0,2,30.0,0,0,13.0,1,47,2
170,0,3,36.0,0,0,0.0,1,47,2
171,0,3,28.25,8,2,69.55,0,47,2
172,0,2,28.25,0,0,15.05,1,47,0
173,0,3,9.0,4,2,31.3875,1,47,2
174,1,2,1.0,2,1,39.0,1,144,2
175,1,3,4.0,0,2,22.025,0,47,2
176,0,1,28.25,0,0,50.0,1,9,2
177,1,3,28.25,1,0,15.5,0,47,1
178,1,1,45.0,0,0,26.55,1,47,2
179,0,3,40.0,1,1,15.5,1,47,1
180,0,3,36.0,0,0,7.8958,1,47,2
181,1,2,32.0,0,0,13.0,0,47,2
182,0,2,19.0,0,0,13.0,1,47,2
183,1,3,19.0,1,0,7.8542,0,47,2
184,1,2,3.0,1,1,26.0,1,141,2
185,1,1,44.0,0,0,27.7208,0,28,0
186,1,1,58.0,0,0,146.5208,0,43,0
187,0,3,42.0,0,1,8.4042,1,47,2
188,0,2,24.0,0,0,13.0,0,47,2
189,0,3,28.0,0,0,9.5,1,47,2
190,0,3,34.0,0,0,6.4958,1,47,2
191,0,3,45.5,0,0,7.225,1,47,0
192,1,3,18.0,0,0,8.05,1,47,2
193,0,3,2.0,0,1,10.4625,0,145,2
194,0,3,32.0,1,0,15.85,1,47,2
195,1,3,26.0,0,0,18.7875,1,47,0
196,1,3,16.0,0,0,7.75,0,47,1
197,1,1,40.0,0,0,31.0,1,8,0
198,0,3,24.0,0,0,7.05,1,47,2
199,1,2,35.0,0,0,21.0,0,47,2
200,0,3,22.0,0,0,7.25,1,47,2
201,0,3,28.25,1,0,7.75,1,47,1
202,1,1,31.0,1,0,113.275,0,103,0
203,1,3,27.0,0,0,7.925,0,47,2
204,0,2,42.0,1,0,27.0,1,47,2
205,1,1,32.0,0,0,76.2917,0,93,0
206,0,2,30.0,0,0,10.5,1,47,2
207,1,3,16.0,0,0,8.05,1,47,2
208,0,2,27.0,0,0,13.0,1,47,2
209,0,3,51.0,0,0,8.05,1,47,2
210,1,1,38.0,1,0,90.0,1,87,2
211,0,3,22.0,0,0,9.35,1,47,2
212,1,2,19.0,0,0,10.5,1,47,2
213,0,3,20.5,0,0,7.25,1,47,2
214,0,2,18.0,0,0,13.0,1,47,2
215,0,3,28.25,3,1,25.4667,0,47,2
216,1,1,35.0,1,0,83.475,0,80,2
217,0,3,29.0,0,0,7.775,1,47,2
218,0,2,59.0,0,0,13.5,1,47,2
219,1,3,5.0,4,2,31.3875,0,47,2
220,0,2,24.0,0,0,10.5,1,47,2
221,0,3,28.25,0,0,7.55,0,47,2
222,0,2,44.0,1,0,26.0,1,47,2
223,1,2,8.0,0,2,26.25,0,47,2
224,0,2,19.0,0,0,10.5,1,47,2
225,0,2,33.0,0,0,12.275,1,47,2
226,0,3,28.25,1,0,14.4542,0,47,0
227,0,2,29.0,0,0,10.5,1,47,2
228,0,3,22.0,0,0,7.125,1,47,2
229,0,3,30.0,0,0,7.225,1,47,0
230,0,1,44.0,2,0,90.0,1,78,1
231,0,3,25.0,0,0,7.775,0,47,2
232,1,2,24.0,0,2,14.5,0,47,2
233,1,1,37.0,1,1,52.5542,1,102,2
234,0,2,54.0,1,0,26.0,1,47,2
235,0,3,28.25,0,0,7.25,1,47,2
236,0,3,29.0,1,1,10.4625,0,145,2
237,0,1,62.0,0,0,26.55,1,83,2
238,0,3,30.0,1,0,16.1,1,47,2
239,0,3,41.0,0,2,20.2125,0,47,2
240,1,3,29.0,0,2,15.2458,0,47,0
241,1,1,28.25,0,0,79.2,0,47,0
242,1,1,30.0,0,0,86.5,0,40,2
243,1,1,35.0,0,0,512.3292,0,47,0
244,1,2,50.0,0,1,26.0,0,47,2
245,1,3,3.0,4,2,31.3875,1,47,2
246,0,1,52.0,1,1,79.65,1,134,2
247,0,1,40.0,0,0,0.0,1,46,2
248,0,3,28.25,0,0,7.75,0,47,1
249,0,2,36.0,0,0,10.5,1,47,2
250,0,3,16.0,4,1,39.6875,1,47,2
251,1,3,25.0,1,0,7.775,1,47,2
252,1,1,58.0,0,1,153.4625,0,57,2
253,1,1,35.0,0,0,135.6333,0,89,2
254,0,1,28.25,0,0,31.0,1,47,2
255,1,3,25.0,0,0,0.0,1,47,2
256,1,2,41.0,0,1,19.5,0,47,2
257,0,1,37.0,0,1,29.7,1,54,0
258,1,1,63.0,1,0,77.9583,0,113,2
259,0,3,45.0,0,0,7.75,0,47,2
260,0,2,28.25,0,0,0.0,1,47,2
261,0,3,7.0,4,1,29.125,1,47,1
262,1,3,35.0,1,1,20.25,0,47,2
263,0,3,65.0,0,0,7.75,1,47,1
264,0,3,28.0,0,0,7.8542,1,47,2
265,0,3,16.0,0,0,9.5,1,47,2
266,1,3,19.0,0,0,8.05,1,47,2
267,0,1,28.25,0,0,26.0,1,3,2
268,0,3,33.0,0,0,8.6625,1,47,0
269,1,3,30.0,0,0,9.5,1,47,2
270,0,3,22.0,0,0,7.8958,1,47,2
271,1,2,42.0,0,0,13.0,1,47,2
272,1,3,22.0,0,0,7.75,0,47,1
273,1,1,26.0,0,0,78.85,0,47,2
274,1,1,19.0,1,0,91.0792,0,31,0
275,0,2,36.0,0,0,12.875,1,90,0
276,0,3,24.0,0,0,8.85,0,47,2
277,0,3,24.0,0,0,7.8958,1,47,2
278,0,3,23.5,0,0,7.2292,1,47,0
279,0,1,2.0,1,2,151.55,0,62,2
280,1,1,28.25,0,0,30.5,1,51,2
281,1,1,50.0,0,1,247.5208,0,36,0
282,1,3,28.25,2,0,23.25,1,47,1
283,0,3,19.0,0,0,0.0,1,47,2
284,1,2,28.25,0,0,12.35,0,116,1
285,1,1,0.92,1,2,151.55,1,62,2
286,1,1,28.25,0,0,110.8833,0,47,0
287,1,1,17.0,1,0,108.9,0,74,0
288,0,2,30.0,1,0,24.0,1,47,0
289,1,1,30.0,0,0,56.9292,0,125,0
290,1,1,24.0,0,0,83.1583,0,72,0
291,1,1,18.0,2,2,262.375,0,35,0
292,0,2,26.0,1,1,26.0,0,47,2
293,0,2,43.0,1,1,26.25,1,47,2
294,1,3,26.0,0,0,7.8542,0,47,2
295,1,2,24.0,1,0,26.0,0,47,2
296,0,2,54.0,0,0,14.0,1,47,2
297,1,1,31.0,0,2,164.8667,0,76,2
298,1,1,40.0,1,1,134.5,0,124,0
299,0,3,27.0,0,0,7.8958,1,47,2
300,1,2,30.0,0,0,12.35,0,47,1
301,1,2,22.0,1,1,29.0,0,47,2
302,1,1,36.0,0,0,135.6333,0,65,0
303,0,3,61.0,0,0,6.2375,1,47,2
304,1,2,36.0,0,0,13.0,0,90,2
305,1,3,31.0,1,1,20.525,0,47,2
306,1,1,16.0,0,1,57.9792,0,17,0
307,1,3,28.25,2,0,23.25,0,47,1
308,0,1,45.5,0,0,28.5,1,56,2
309,0,1,38.0,0,1,153.4625,1,85,2
310,0,3,16.0,2,0,18.0,1,47,2
311,1,1,28.25,1,0,133.65,0,47,2
312,0,1,29.0,1,0,66.6,1,61,2
313,1,1,41.0,0,0,134.5,0,127,0
314,1,3,45.0,0,0,8.05,1,47,2
315,0,1,45.0,0,0,35.5,1,146,2
316,1,2,2.0,1,1,26.0,1,141,2
317,1,1,24.0,3,2,263.0,0,63,2
318,0,2,28.0,0,0,13.0,1,47,2
319,0,2,36.0,0,0,13.0,1,47,2
320,1,2,24.0,0,0,13.0,0,142,2
321,1,2,40.0,0,0,13.0,0,47,2
322,1,3,28.25,1,0,16.1,0,47,2
323,1,3,3.0,1,1,15.9,1,47,2
324,0,3,42.0,0,0,8.6625,1,47,2
325,0,3,23.0,0,0,9.225,1,47,2
326,0,1,28.25,0,0,35.0,1,59,2
327,0,3,15.0,1,1,7.2292,1,47,0
328,0,3,25.0,1,0,17.8,1,47,2
329,1,1,22.0,0,1,55.0,0,123,2
330,0,2,38.0,0,0,13.0,0,47,2
331,0,3,40.0,1,4,27.9,1,47,2
332,0,2,29.0,1,0,27.7208,1,47,0
333,0,3,45.0,0,1,14.4542,0,47,0
334,0,3,35.0,0,0,7.05,1,47,2
335,0,3,30.0,0,0,7.25,1,47,2
336,1,1,60.0,1,0,75.25,0,104,0
337,1,3,28.25,0,0,7.2292,0,47,0
338,1,1,24.0,0,0,69.3,0,24,0
339,1,1,25.0,1,0,55.4417,1,131,0
340,0,3,18.0,1,0,6.4958,1,47,2
341,0,3,19.0,0,0,8.05,1,47,2
342,0,1,22.0,0,0,135.6333,1,47,0
343,0,3,3.0,3,1,21.075,0,47,2
344,1,1,28.25,1,0,82.1708,0,47,0
345,1,3,22.0,0,0,7.25,0,47,2
346,0,1,27.0,0,2,211.5,1,79,0
347,0,3,20.0,0,0,4.0125,1,47,0
348,0,3,19.0,0,0,7.775,1,47,2
349,1,1,42.0,0,0,227.525,0,47,0
350,1,3,1.0,0,2,15.7417,0,47,0
351,0,3,32.0,0,0,7.925,1,47,2
352,1,1,35.0,1,0,52.0,0,47,2
353,0,2,18.0,0,0,73.5,1,47,2
354,0,3,1.0,5,2,46.9,1,47,2
355,1,2,36.0,0,0,13.0,0,47,2
356,0,3,28.25,0,0,7.7292,1,47,1
357,1,2,17.0,0,0,12.0,0,47,0
358,1,1,36.0,1,2,120.0,1,47,2
359,1,3,21.0,0,0,7.7958,1,47,2
360,0,3,28.0,2,0,7.925,1,47,2
361,1,1,23.0,1,0,113.275,0,103,0
362,1,3,24.0,0,2,16.7,0,145,2
363,0,3,22.0,0,0,7.7958,1,47,2
364,0,3,31.0,0,0,7.8542,0,47,2
365,0,2,46.0,0,0,26.0,1,47,2
366,0,2,23.0,0,0,10.5,1,47,2
367,1,2,28.0,0,0,12.65,0,47,2
368,1,3,39.0,0,0,7.925,1,47,2
369,0,3,26.0,0,0,8.05,1,47,2
370,0,3,21.0,1,0,9.825,0,47,2
371,0,3,28.0,1,0,15.85,1,47,2
372,0,3,20.0,0,0,8.6625,0,47,2
373,0,2,34.0,1,0,21.0,1,47,2
374,0,3,51.0,0,0,7.75,1,47,2
375,1,2,3.0,1,1,18.75,1,47,2
376,0,3,21.0,0,0,7.775,1,47,2
377,0,3,28.25,0,0,6.8583,1,47,1
378,1,1,33.0,1,0,90.0,0,78,1
379,1,3,44.0,0,0,7.925,1,47,2
380,0,3,28.25,0,0,8.05,0,47,2
381,1,2,34.0,1,1,32.5,0,47,2
382,1,2,18.0,0,2,13.0,0,47,2
383,0,3,10.0,0,2,24.15,0,47,2
384,0,3,21.0,0,0,7.7333,1,47,1
385,0,3,29.0,0,0,7.875,1,47,2
386,0,3,28.0,1,1,14.4,0,47,2
387,0,3,18.0,1,1,20.2125,1,47,2
388,1,2,28.0,1,0,26.0,0,47,2
389,1,2,19.0,0,0,26.0,0,47,2
390,1,3,32.0,0,0,8.05,1,115,2
391,1,1,28.0,0,0,26.55,1,71,2
392,1,2,42.0,1,0,26.0,0,47,2
